CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE267234,06/15/2021 04:45:00 PM,107XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2233,34,08B,1172556,1833609,41.69885706,-87.6437984,"(41.698857058, -87.643798396)"
JE267494,06/15/2021 11:04:00 PM,052XX S ARTESIAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,923,14,01A,1160923,1869959,41.79885471,-87.68539088,"(41.798854705, -87.685390881)"
JE267500,06/15/2021 10:20:00 PM,040XX W 115TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,2211,19,14,1151309,1828012,41.68393824,-87.72174118,"(41.683938235, -87.721741177)"
JE266437,06/15/2021 03:09:00 AM,078XX S ADA ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,APARTMENT,N,N,612,17,15,1168802,1852756,41.75148093,-87.65699296,"(41.751480925, -87.656992959)"
JE266989,06/15/2021 02:20:00 PM,051XX N LINCOLN AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,N,N,2031,40,26,1158555,1934254,41.97533468,-87.69231358,"(41.975334679, -87.692313579)"
JE267088,06/15/2021 03:35:00 PM,030XX N CLARK ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1934,44,6,1170665,1920334,41.93688045,-87.64819037,"(41.936880447, -87.648190373)"
JE266473,06/15/2021 07:55:00 AM,062XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,N,N,712,16,01A,1170714,1863474,41.780851,-87.64967422,"(41.780850996, -87.649674221)"
JE267319,06/15/2021 07:09:00 PM,045XX W ALTGELD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2521,31,11,1145637,1916295,41.92630909,-87.74027493,"(41.92630909, -87.74027493)"
JE267295,06/15/2021 06:08:00 PM,002XX N MAYFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1137120,1901058,41.88465429,-87.77193779,"(41.884654292, -87.771937787)"
JE267345,06/15/2021 04:30:00 PM,042XX N ELSTON AVE,810,THEFT,OVER $500,STREET,N,N,1723,39,6,1149542,1927916,41.95812305,-87.72562303,"(41.95812305, -87.725623029)"
JE266996,06/15/2021 01:00:00 PM,010XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1232,25,14,1169272,1894871,41.86703884,-87.6540508,"(41.867038835, -87.654050797)"
JE267206,06/15/2021 05:20:00 PM,048XX N PULASKI RD,460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1712,39,08B,1148853,1931908,41.96909077,-87.72805239,"(41.969090767, -87.728052386)"
JE266968,06/15/2021 06:00:00 AM,004XX E 88TH ST,820,THEFT,$500 AND UNDER,ALLEY,N,N,632,9,6,1180754,1846736,41.73469519,-87.61337944,"(41.734695188, -87.613379443)"
JE267218,06/15/2021 05:00:00 PM,045XX N KOSTNER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1722,39,08B,1146021,1929857,41.9635171,-87.73851807,"(41.963517097, -87.738518074)"
JE266443,06/15/2021 03:00:00 AM,050XX W ADDISON ST,1020,ARSON,BY FIRE,STREET,N,N,1634,30,9,1142212,1923467,41.94605407,-87.75268185,"(41.946054074, -87.752681854)"
JE267430,06/15/2021 08:40:00 PM,038XX S PARNELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,915,11,08A,1173256,1879563,41.82494501,-87.6398789,"(41.824945009, -87.639878895)"
JE266416,06/15/2021 12:15:00 AM,115XX S YALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE - PORCH / HALLWAY,N,Y,522,34,26,1176675,1828470,41.6846634,-87.6288705,"(41.684663397, -87.628870501)"
JE266853,06/15/2021 09:43:00 AM,077XX S YATES BLVD,560,ASSAULT,SIMPLE,APARTMENT,N,Y,421,7,08A,1193543,1854043,41.75444309,-87.56628824,"(41.754443092, -87.566288239)"
JE266537,06/15/2021 08:10:00 AM,099XX S WESTERN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2213,19,7,1162136,1838580,41.71272093,-87.68181398,"(41.712720927, -87.681813981)"
JE266578,06/15/2021 09:10:00 AM,010XX E 79TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,624,8,04B,1184509,1852836,41.75134722,-87.59943231,"(41.751347216, -87.59943231)"
JE267110,06/15/2021 04:20:00 AM,001XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,114,42,6,1177271,1901522,41.88511212,-87.62448405,"(41.885112119, -87.624484053)"
JE267092,06/15/2021 08:25:00 AM,029XX N LINDER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2514,31,14,1139193,1919067,41.93403561,-87.76388628,"(41.934035613, -87.763886276)"
JE266388,06/15/2021 12:45:00 AM,011XX N LAKE SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1824,2,01A,1177197,1907909,41.90264004,-87.62456204,"(41.902640036, -87.624562043)"
JE267498,06/15/2021 10:45:00 PM,038XX W FLOURNOY ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,1133,24,01A,1150880,1896755,41.87258826,-87.72152125,"(41.872588258, -87.721521251)"
JE267253,06/15/2021 01:00:00 AM,033XX N KENNETH AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1731,30,08B,1146127,1921794,41.94138954,-87.73833416,"(41.941389537, -87.738334157)"
JE267251,06/15/2021 04:30:00 PM,003XX S SACRAMENTO BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,1124,28,3,1156435,1898257,41.87659944,-87.70108563,"(41.876599436, -87.701085626)"
JE143283,02/16/2021 05:35:00 PM,017XX W 119TH ST,460,BATTERY,SIMPLE,RESTAURANT,N,N,2234,34,08B,1166691,1825767,41.67746412,-87.6654959,"(41.677464116, -87.665495904)"
JD390623,09/30/2020 12:00:00 PM,018XX N Sedgwick St,810,THEFT,OVER $500,RESIDENCE,N,N,1814,43,6,1173303,1912547,41.91545433,-87.63872727,"(41.915454333, -87.638727274)"
JE285323,06/30/2021 08:23:00 PM,065XX S BISHOP ST,460,BATTERY,SIMPLE,SIDEWALK,N,N,725,16,08B,1167788,1861475,41.77542883,-87.66045885,"(41.775428827, -87.660458852)"
JE247585,8/10/2020 12:00,065XX S PEORIA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,723,6,11,,,,,
JD381795,09/13/2020 12:00:00 PM,015XX N KINGSBURY ST,810,THEFT,OVER $500,GROCERY FOOD STORE,Y,N,1822,27,6,1169505,1910252,41.90924028,-87.65274758,"(41.909240284, -87.65274758)"
JE148785,12/04/2020 11:50,020XX N BURLING ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1812,43,11,,,,,
JE271994,06/19/2021 01:05:00 PM,0000X N DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,N,N,112,42,6,,,,,
JD394860,10/08/2020 7:30,054XX N KEDZIE AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1712,40,6,1154065,1935878,41.97988203,-87.70878139,"(41.979882033, -87.70878139)"
JD393050,10/08/2020 17:10,015XX N LINDER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2532,37,08B,1139392,1909706,41.90834437,-87.76338359,"(41.90834437, -87.763383589)"
JD392460,10/08/2020 8:20,047XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,37,6,1144311,1910210,41.90963629,-87.74530073,"(41.909636288, -87.745300725)"
JD393039,10/08/2020 16:18,014XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,614,21,26,1168433,1847060,41.73585825,-87.65850886,"(41.735858253, -87.658508857)"
